Key,Country,Language,Language_Category,Encounter_Likelihood,Google_Offline,Google_Talk,Continent,Approx. U.S. Citizen Travel,4G_Penetration,5G_Planned,FIPS,COUNTRY2,Flag_URL,Pop_2021
49,Belarus,Belarusian,Official,1,TRUE,FALSE,Europe,529149,68.6,Yes,BO,Belarus,Belarus.png,"9,442,862"
50,Belarus,Russian,Official,1,TRUE,TRUE,Europe,529149,68.6,Yes,BO,Belarus,Belarus.png,"9,442,862"
51,Belgium,Dutch,Official,1,TRUE,TRUE,Europe,1587447,90.4,Yes,BE,Belgium,Belgium.png,"11,632,326"
52,Belgium,French,Official,1,TRUE,TRUE,Europe,1587447,90.4,Yes,BE,Belgium,Belgium.png,"11,632,326"
53,Belgium,German,Official,1,TRUE,TRUE,Europe,1587447,90.4,Yes,BE,Belgium,Belgium.png,"11,632,326"
54,Belize,English,Official,1,TRUE,TRUE,North America,862855,50,No,BH,Belize,Belize.png,"404,914"
55,Belize,Spanish,Regional,4,TRUE,TRUE,North America,862855,50,No,BH,Belize,Belize.png,"404,914"
56,Benin,French,Official,1,TRUE,TRUE,Africa,30681,50,No,BN,Benin,Benin.png,"12,451,040"
57,Bhutan,Dzongkha,Official,1,TRUE,TRUE,Asia,130914,50,No,BT,Bhutan,Bhutan.png,"779,898"
58,Boliva,Spanish,Official,1,TRUE,TRUE,South America,130914,78.7,No,BL,Bolivia,Boliva.png,"11,832,940"
58,Boliva,Quechua,Regional,4,FALSE,FALSE,South America,130914,78.7,No,BL,Bolivia,Boliva.png,"11,832,940"
58,Boliva,Aymara,Regional,4,FALSE,FALSE,South America,130914,78.7,No,BL,Bolivia,Boliva.png,"11,832,940"
59,Bosnia and Herzegovina,Bosnian,Official,1,FALSE,FALSE,Europe,501299,50,No,BK,Bosnia and Herzegovina,Bosnia_and_Herzegovina.png,"3,263,466"
60,Bosnia and Herzegovina,Croatian,Official,1,TRUE,TRUE,Europe,501299,50,No,BK,Bosnia and Herzegovina,Bosnia_and_Herzegovina.png,"3,263,466"
61,Bosnia and Herzegovina,Serbian,Official,1,FALSE,TRUE,Europe,501299,50,No,BK,Bosnia and Herzegovina,Bosnia_and_Herzegovina.png,"3,263,466"
62,Botswana,English,Official,1,TRUE,TRUE,Africa,27613,50,No,BC,Botswana,Botswana.png,"2,397,241"
63,Botswana,Tswana,Official,1,TRUE,TRUE,Africa,27613,50,No,BC,Botswana,Botswana.png,"2,397,241"
64,Brazil,Portuguese,Official,1,TRUE,TRUE,South America,584594,72,Yes,BR,Brazil,Brazil.png,"213,993,437"
65,Brazil,East Pomeranian,Regional,4,TRUE,TRUE,South America,584594,72,Yes,BR,Brazil,Brazil.png,"213,993,437"
66,Brazil,Riograndenser Hunsruckish,Regional,4,FALSE,FALSE,South America,584594,72,Yes,BR,Brazil,Brazil.png,"213,993,437"
67,Brazil,Talian,Regional,4,FALSE,FALSE,South America,584594,72,Yes,BR,Brazil,Brazil.png,"213,993,437"
68,Brazil,Nheengatu,Regional,4,FALSE,TRUE,South America,584594,72,Yes,BR,Brazil,Brazil.png,"213,993,437"
69,Brazil,Guarani,Regional,4,TRUE,TRUE,South America,584594,72,Yes,BR,Brazil,Brazil.png,"213,993,437"
70,Brunei,Malay,Official,1,TRUE,FALSE,North America,468391,50,No,BX,Brunei Darussalam,Brunei.png,"441,532"
71,Brunei,English,Official,1,TRUE,TRUE,North America,468391,50,No,BX,Brunei Darussalam,Brunei.png,"441,532"
72,Bulgaria,Bulgarian,Official,1,TRUE,FALSE,Europe,476234,79.5,Yes,BU,Bulgaria,Bulgaria.png,"6,896,663"
73,Burkina Faso,French,Official,1,TRUE,TRUE,Africa,23011,0,No,UV,Burkina Faso,Burkina_Faso.png,"21,497,096"
74,Burkina Faso,Fula,National,2,FALSE,FALSE,Africa,23011,0,No,UV,Burkina Faso,Burkina_Faso.png,"21,497,096"
75,Burkina Faso,Jula,National,2,FALSE,FALSE,Africa,23011,0,No,UV,Burkina Faso,Burkina_Faso.png,"21,497,096"
76,Burkina Faso,More,National,2,FALSE,FALSE,Africa,23011,0,No,UV,Burkina Faso,Burkina_Faso.png,"21,497,096"
77,Burkina Faso,Kirundi,National,2,FALSE,FALSE,Africa,23011,0,No,UV,Burkina Faso,Burkina_Faso.png,"21,497,096"
78,Burkina Faso,Swahili,Widely-spoken,3,TRUE,TRUE,Africa,23011,0,No,UV,Burkina Faso,Burkina_Faso.png,"21,497,096"
79,Burundi,French,Official,1,TRUE,TRUE,Africa,21241,50,No,BY,Burundi,Burundi.png,"12,255,433"
80,Burundi,Kirundi,Official,1,FALSE,FALSE,Africa,21241,50,No,BY,Burundi,Burundi.png,"12,255,433"
81,Burundi,English,Official,1,TRUE,TRUE,Africa,21241,50,No,BY,Burundi,Burundi.png,"12,255,433"
82,Cambodia,Khmer,Official,1,FALSE,TRUE,Asia,467550,81.1,Yes,CB,Cambodia,Cambodia.png,"16,946,438"
83,Cameroon,English,Official,1,TRUE,TRUE,Africa,18408,50,No,CM,Cameroon,Cameroon.png,"27,224,265"
84,Cameroon,French,Official,1,TRUE,TRUE,Africa,18408,50,No,CM,Cameroon,Cameroon.png,"27,224,265"
85,Canada,English,Official,1,TRUE,TRUE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
86,Canada,French,Official,1,TRUE,TRUE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
87,Canada,Chipewyan,Regional,4,TRUE,TRUE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
88,Canada,Cree,Regional,4,FALSE,FALSE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
89,Canada,Gwich'in,Regional,4,TRUE,FALSE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
90,Canada,Inuinnaqtun,Regional,4,TRUE,TRUE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
91,Canada,Inuktitut,Regional,4,TRUE,TRUE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
92,Canada,Inuvialuktun,Regional,4,TRUE,TRUE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
93,Canada,North Slavey,Regional,4,FALSE,TRUE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
94,Canada,South Slavey,Regional,4,FALSE,FALSE,North America,14994045,88.8,Yes,CA,Canada,Canada.png,"38,067,903"
95,Cape Verde,Portuguese,Official,1,TRUE,TRUE,North America,14994045,88.8,Yes,CV,Cape Verde,Cape_Verde.png,"561,898"
96,Cape Verde,Cape Verdean Creole,National,2,TRUE,FALSE,North America,14994045,88.8,Yes,CV,Cape Verde,Cape_Verde.png,"561,898"
